,fips_code,county,total_2008,total_2012,total_2016
3054,27039,Dodge County,10214,10272,10564
3055,38013,Burke County,943,1015,1031
3056,29175,Randolph County,10624,9944,10309
3057,6023,Humboldt County,63727,46269,33636
3058,1095,Marshall County,33166,32455,34965
3059,30009,Carbon County,5746,5806,5923
3060,18005,Bartholomew County,31043,29313,32389
3061,20191,Sumner County,10337,8989,9494
3062,39175,Wyandot County,10977,10254,10396
3063,42049,Erie County,127691,112732,117240
3064,13059,Clarke County,45510,40138,44221
3065,38065,Oliver County,1040,1010,1002
3066,51103,Lancaster County,6938,7052,6599
3067,20019,Chautauqua County,1852,1502,1845
3068,40021,Cherokee County,16380,14288,16487
3069,48277,Lamar County,18362,17173,18537
3070,20117,Marshall County,5036,4679,4578
3071,31111,Lincoln County,16277,15266,15674
3072,24011,Caroline County,13218,12526,13282
3073,17111,McHenry County,139268,133589,140145
3074,17019,Champaign County,84143,77620,89196
3075,40143,Tulsa County,254496,227541,246557
3076,31029,Chase County,1844,1849,1851
3077,48073,Cherokee County,16417,16387,16701
3078,46007,Bennett County,1208,1203,1149
3079,17033,Crawford County,9129,8598,8507
3080,1053,Escambia County,14674,14832,15213
3081,18133,Putnam County,14646,13813,14680
3082,39077,Huron County,25582,24077,24332
3083,26081,Kent County,303235,295418,306270
3084,37089,Henderson County,51614,51961,56810
3085,53011,Clark County,182764,181567,190653
3086,42055,Franklin County,63641,62802,69345
3087,1037,Coosa County,5563,5243,5223
3088,54069,Ohio County,19540,17541,17819
3089,32011,Eureka County,728,808,854
3090,51800,Suffolk City,39908,42381,41929
3091,32017,Lincoln County,2072,2152,2132
3092,1071,Jackson County,20874,20555,20785
3093,53059,Skamania County,5490,5326,5308
3094,48069,Castro County,2291,2119,1996
3095,51007,Amelia County,6529,6885,7035
3096,37195,Wilson County,37191,38890,37593
3097,37149,Polk County,10562,10323,10723
3098,6055,Napa County,59642,32332,31534
3099,13069,Coffee County,13747,14434,13896
3100,38061,Mountrail County,2938,3444,4009
3101,19031,Cedar County,9665,9548,9386
3102,27163,Washington County,137059,141711,142843
3103,49045,Tooele County,17337,16422,18905
3104,30047,Lake County,13913,13156,12898
3105,55061,Kewaunee County,10787,11018,10742
3106,17143,Peoria County,81704,78060,77465
3107,17115,Macon County,51216,48742,47283
3108,29215,Texas County,10851,10764,10935
3109,46051,Grant County,3830,3606,3562
3110,17103,Lee County,16318,15275,15215
3111,20063,Gove County,1418,1368,1328
